trial_id	trialacronym	phase	recruitmentstatus	recruitmentstate	approvaldate	actualstartdate	drug_list	drug_classes	combo_list	combo_classes	secondaryid	studytitle	healthcondition	postcode	ext_weblink
ACTRN12614001292662	CLRX301-101	Phase 1 / Phase 2	Stopped early	NSW, VIC	11/12/2014	16/12/2014	CRLX301	docetaxel-loaded_nanopharmaceutical	CRLX301	docetaxel-loaded_nanopharmaceutical	CLRX301-101	Phase 1/2a Dose-Escalation Study of CRLX301 in Patients with Advanced Solid Tumor Malignancies	Solid Tumours; Taxane-naive castration resistant prostate cancer (CRPC)	2109 - Macquarie University; 2170 - Liverpool; 3165 - Bentleigh East	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12614001292662
ACTRN12615000504516	NAP-CAPABIL	Phase 2	NOT_RECRUITING	NSW	20/05/2015		Capecitabine; Capecitabine + Nab-paclitaxel; Nab-paclitaxel; Paclitaxel	fluoropyrimidine + taxane; taxane; fluoropyrimidine	Capecitabine + Nab-paclitaxel; Capecitabine + Nab-paclitaxel	fluoropyrimidine + taxane; fluoropyrimidine + taxane	Nil	Patients with advanced biliary cancer to be treated with second line combination chemotherapy of NAB Paclitaxel and capecitabine in a single arm pilot study to assess feasibility	advanced biliary cancer		https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12615000504516
ACTRN12615000516583	ACTIVATE-trial	Phase 1	Stopped early	NSW	22/05/2015	3/09/2015	RGSH4K	autologous_anticancer_vaccine	RGSH4K	autologous_anticancer_vaccine	Nil	In patients with advanced solid tumours, is an autologous cancer vaccine (RGSH4K), safe and tolerable, and can a biologically active dose be identified?	Advanced solid tumours		https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12615000516583
ACTRN12615000571572	ACTRN12615000571572	Phase 1 / Phase 2	Stopped early	QLD	3/06/2015	23/03/2015	Atorvastatin; Atorvastatin + Metformin; Metformin; Placebo	biguanide_antihyperglycaemic_agent; HMG-CoA_reductase_inhibitor; placebo; HMG-CoA_reductase_inhibitor + biguanide_antihyperglycaemic_agent	Atorvastatin; Atorvastatin + Metformin; Metformin; Atorvastatin + Metformin; Placebo	HMG-CoA_reductase_inhibitor; HMG-CoA_reductase_inhibitor + biguanide_antihyperglycaemic_agent; biguanide_antihyperglycaemic_agent; HMG-CoA_reductase_inhibitor + biguanide_antihyperglycaemic_agent; placebo	Nil Known	The effectiveness of a combination of Metformin and Atrovastatin compared with each drug alone and placebo in modulating tumour aggressiveness in men with high risk prostate cancer undergoing radical prostatectomy	Prostate cancer		https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12615000571572
ACTRN12615001072505	ACED	Phase 2	Stopped early	WA, SA, NSW, TAS, VIC, QLD	13/10/2015	19/07/2016	Acetazolamide; Dexamethasone; Placebo	glucocorticoid; placebo; carbonic_anhydrase_inhibitor	Acetazolamide; Dexamethasone; Placebo	carbonic_anhydrase_inhibitor; glucocorticoid; placebo	Nil known	A Phase II randomised placebo-controlled, double blind, multisite study of Acetazolamide versus placebo for management of cerebral oedema in recurrent and/or progressive High Grade Glioma requiring treatment with Dexamethasone – The ACED trial	Cerebral Oedema in recurrent, progressive and/or persistent High Grade Glioma	2170 - Liverpool; 2050 - Camperdown; 2217 - Kogarah; 5042 - Bedford Park; 3121 - Richmond; 6009 - Nedlands; 2010 - Darlinghurst; 2031 - Randwick; 4029 - Herston; 7000 - Hobart; 3065 - Fitzroy	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12615001072505
ACTRN12615001088538	TIDAL-Melanoma	Phase 2	Recruiting	QLD	16/10/2015	6/01/2017	Diphencyprone; Diphencyprone + Imiquimod; Imiquimod	topical_immune_response_modifier	Diphencyprone; Diphencyprone + Imiquimod; Imiquimod; Diphencyprone + Imiquimod	topical_immune_response_modifier	Nil known	The effect of topical imiquimod or diphenylcyclopropenone on complete clinical response in patients with cutaneous in-transit melanoma metastases - A Phase II Single Centre Prospective Randomised Pilot Study.	Cutaneous in-transit melanoma metastases	4102 - Woolloongabba	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12615001088538
ACTRN12615001291572	FRAME	Phase 2	Stopped early	WA	26/11/2015	7/04/2016	AZD4547	FGFR1/2/3_inhibitor	AZD4547	FGFR1/2/3_inhibitor	None	A two stage, open-label, phase II trial assessing the efficacy of a single oral agent AZD4547 in malignant mesothelioma.	Malignant Mesothelioma	6009 - Nedlands	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12615001291572
ACTRN12615001328561	DESNET2	Phase 2	Not yet recruiting		4/12/2015		Octreotide; Octreotide + Pasireotide; Pasireotide	somatostatin_analog	Octreotide + Pasireotide; Pasireotide; Octreotide + Pasireotide	somatostatin_analog	Novartis Protocol Number: CSOM230FAU04T	Phase II study evaluating the efficacy of Pasireotide LAR (SOM230) dose escalation in patients with refractory non-functional GEP NETs	Gastro-entero-pancreatic neuroendocrine tumours		https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12615001328561
ACTRN12616000008426	ACTRN12616000008426		Recruiting	NSW	12/01/2016	3/06/2015	RX108	sodium-potassium_ATPase_inhibitor	RX108	sodium-potassium_ATPase_inhibitor	None	A Phase I, Open-Label, Dose-Escalation Study of the Safety and Pharmacokinetics of RX108 in Patients with Advanced or Metastatic Solid Tumours.	Advanced or Metastatic Solid Tumours		https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12616000008426
ACTRN12616000228482	ACT001-AU-001	Phase 1	Recruiting	SA, VIC, NSW	19/02/2016	19/09/2016	ACT001	NFKB_inhibitor	ACT001	NFKB_inhibitor	ACT001-AU-001 (Sponsor protocol code)	A phase 1 dose-escalation study to evaluate the safety, tolerability and pharmacokinetics of ACT001 in patients with advanced solid tumors	Solid tumors	3121 - Richmond; 3004 - Melbourne; 2031 - Randwick; 5042 - Bedford Park	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12616000228482
ACTRN12616000420448	INTEGRATE-IIa	Phase 3	Recruiting	SA, NZ, NT, WA, QLD, TAS, VIC, ACT, NSW	1/04/2016	10/11/2016	Placebo; Regorafenib	placebo; KIT/PDGFR/RET/VEGFR/FGFR_inhibitor	Regorafenib; Placebo	KIT/PDGFR/RET/VEGFR/FGFR_inhibitor; placebo	AG0315OG  CTC0140	A Randomised Phase III Double-Blind Placebo-Controlled Study to determine if regorafenib improves overall survival in refractory Advanced Gastro-Oesophageal Cancer (AGOC)	Advanced (metastatic or locally recurrent) Gastro-Oesophageal Cancer (AGOC)	4814 - Douglas; 2250 - Gosford; 6008 - Subiaco; 3168 - Clayton; 2444 - Port Macquarie; 2305 - New Lambton Heights; 2139 - Concord; 2217 - Kogarah; 3690 - Wodonga; 4575 - Birtinya; 3165 - East Bentleigh; 5042 - Bedford Park; 2145 - Westmead; 5011 - Woodville; 2065 - St Leonards; 2450 - Coffs Harbour; 6009 - Nedlands; 3355 - Wendouree; 3084 - Heidelberg; 2485 - Tweed Heads; 2010 - Darlinghurst; 2031 - Randwick; 4029 - Herston; 5037 - Kurralta Park; 2605 - Garran; 7000 - Hobart; 0810 - Tiwi	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12616000420448
ACTRN12616000440426	PRIME001	Phase 1 / Phase 2	NOT_RECRUITING; STATUS_UNKNOWN	NSW	6/04/2016	21/02/2017	Carboplatin; Carboplatin + Decitabine; Decitabine	platinum-based_antineoplastic_agent; DNA_methyltransferase_inhibitor; DNA_methyltransferase_inhibitor + platinum-based_antineoplastic_agent	Carboplatin + Decitabine; Carboplatin + Decitabine	DNA_methyltransferase_inhibitor + platinum-based_antineoplastic_agent; DNA_methyltransferase_inhibitor + platinum-based_antineoplastic_agent	None	Pilot Early phase II study of Decitabine and Carboplatin in patients with advanced melanoma	Metastatic melanoma	2298 - Waratah	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12616000440426
ACTRN12616000958482	NABNEC	Phase 2	Recruiting	NSW, VIC, TAS, QLD, WA, NZ, SA	21/07/2016	17/11/2016	Carboplatin; Carboplatin + Nab-paclitaxel; Nab-paclitaxel	platinum-based_antineoplastic_agent + taxane; platinum-based_antineoplastic_agent; taxane	Carboplatin + Nab-paclitaxel; Carboplatin + Nab-paclitaxel	platinum-based_antineoplastic_agent + taxane; platinum-based_antineoplastic_agent + taxane	AG0215NET	A phase II study to establish if carboplatin and nab-paclitaxel combination is an effective and tolerable chemotherapy treatment for grade 3 advanced gastrointestinal Neuroendocrine Carcinomas.	Gastrointestinal Neuroendocrine Carcinomas		https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12616000958482
ACTRN12616001019493	MoST-addendum-2	Phase 2	NOT_RECRUITING	NSW, WA	2/08/2016	16/12/2016	Durvalumab; Durvalumab + Tremelimumab; Tremelimumab	anti-PD-L1_monoclonal_antibody; anti-CTLA-4_monoclonal_antibody + anti-PD-L1_monoclonal_antibody; anti-CTLA-4_monoclonal_antibody	Durvalumab + Tremelimumab; Durvalumab + Tremelimumab	anti-CTLA-4_monoclonal_antibody + anti-PD-L1_monoclonal_antibody; anti-CTLA-4_monoclonal_antibody + anti-PD-L1_monoclonal_antibody	CTC0141 Addendum 2	Single arm, open label, signal seeking, phase IIa trial of the activity of Durvalumab (MEDI4736) in combination with Tremelimumab in patients with advanced rare or neglected cancers.	Cancer	6009 - Nedlands; 2010 - Darlinghurst; 2050 - Camperdown; 2217 - Kogarah	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12616001019493
ACTRN12616001187437	MatchMel	Phase 2	Not yet recruiting	NSW	29/08/2016		Bortezomib; Cabozantinib; Ceritinib; Crizotinib; Dasatinib; Erlotinib; Everolimus; Gefitinib; Imatinib; Lapatinib; Nilotinib; Olaparib; Palbociclib; Pazopanib; Ramucirumab; Regorafenib; Sorafenib; Sunitinib; Trametinib; Vorinostat	mTORC1_inhibitor; EGFR_inhibitor,first_generation; SRC_inhibitor; ERBB2_inhibitor,first_generation; AXL/MET/RET/VEGFR/ROS1/KIT_inhibitor; MET_inhibitor,type_2; VEGFR_inhibitor; PARP_inhibitor; BCR-ABL1_inhibitor,second_generation; YES1_inhibitor; RET_inhibitor; KIT_inhibitor,ATP-competitive; CRAF_inhibitor; ALK/ROS1/IGF1R_inhibitor; CRAF/FLT3/KIT/PDGFR/VEGFR_inhibitor; CDK4/6_inhibitor; proteasome_inhibitor; AXL_inhibitor; PDGFRA_inhibitor; BCR-ABL1_inhibitor,first_generation; EGFR_inhibitor,type_II; FLT3_inhibitor; anti-VEGFR2_monoclonal_antibody; KIT/PDGFR/RET/VEGFR/FGFR_inhibitor; MEK_inhibitor; KIT_inhibitor,first_generation; VEGFR2_inhibitor; ALK_inhibitor,first_generation; MET_inhibitor,type_1; PDGFR_inhibitor; ROS1_inhibitor; KIT_inhibitor; HDAC_inhibitor	Bortezomib; Cabozantinib; Ceritinib; Crizotinib; Dasatinib; Erlotinib; Everolimus; Gefitinib; Imatinib; Lapatinib; Nilotinib; Olaparib; Palbociclib; Pazopanib; Ramucirumab; Regorafenib; Sorafenib; Sunitinib; Trametinib; Vorinostat	ALK/ROS1/IGF1R_inhibitor; ALK_inhibitor,first_generation; AXL/MET/RET/VEGFR/ROS1/KIT_inhibitor; AXL_inhibitor; BCR-ABL1_inhibitor,first_generation; BCR-ABL1_inhibitor,second_generation; CDK4/6_inhibitor; CRAF/FLT3/KIT/PDGFR/VEGFR_inhibitor; CRAF_inhibitor; EGFR_inhibitor,first_generation; EGFR_inhibitor,type_II; ERBB2_inhibitor,first_generation; FLT3_inhibitor; HDAC_inhibitor; KIT/PDGFR/RET/VEGFR/FGFR_inhibitor; KIT_inhibitor; KIT_inhibitor,ATP-competitive; KIT_inhibitor,first_generation; MEK_inhibitor; MET_inhibitor,type_1; MET_inhibitor,type_2; PARP_inhibitor; PDGFRA_inhibitor; PDGFR_inhibitor; RET_inhibitor; ROS1_inhibitor; SRC_inhibitor; VEGFR2_inhibitor; VEGFR_inhibitor; YES1_inhibitor; anti-VEGFR2_monoclonal_antibody; mTORC1_inhibitor; proteasome_inhibitor	Protocol Number MIA2015/174	Molecular profiling to identify patients with BRAF/NRAS wild type melanoma and the proportion of these patients that undergo matched targeted therapy as a result of extended molecular testing.	Metastatic Melanoma	2065 - Wollstonecraft; 2145 - Westmead; 2050 - Camperdown	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12616001187437
ACTRN12616001637437	ACTRN12616001637437	Phase 1	NOT_RECRUITING	ACT	25/11/2016	7/10/2016	Complete Freund’s Adjuvant; Pembrolizumab	anti-PD-1_monoclonal_antibody; immunopotentiator	Pembrolizumab; Complete Freund’s Adjuvant	anti-PD-1_monoclonal_antibody; immunopotentiator	Nil known	Phase I Study of the safety of Complete Freund’s Adjuvant (CFA) in Patients with Refractory and Relapsed Solid Tumours	Solid Tumours	2605 - Garran	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12616001637437
ACTRN12617000741381	Protocol-CA209-993ISR	Phase 1	Recruiting	VIC, NSW, SA	22/05/2017	31/08/2017	Nivolumab	anti-PD-1_monoclonal_antibody	Nivolumab	anti-PD-1_monoclonal_antibody	Protocol CA209-993ISR	Nivolumab in renal transplant recipients with poor prognosis cancers - a safety study.	Cancer; Renal Transplant	5000 - Adelaide; 3168 - Clayton; 2050 - Camperdown	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12617000741381
ACTRN12617000855325	EMBRACE-study	Phase 2	NOT_RECRUITING	WA, SA, NSW, QLD, VIC	9/06/2017	12/09/2018	Olaparib	PARP_inhibitor	Olaparib	PARP_inhibitor	CTC0160	Phase II clinical trial of the PARP inhibitor, olaparib, in HR-deficient metastatic breast and relapsed ovarian cancer in patients without germline mutations in BRCA1 and BRCA2: The EMBRACE study	Triple negative breast cancer; High grade serous ovarian cancer	3355 - Wendouree; 5000 - Adelaide; 2065 - St Leonards; 2450 - Coffs Harbour; 4029 - Herston; 4066 - Auchenflower; 2640 - Albury; 3000 - Melbourne; 4217 - Benowa; 6150 - Murdoch; 2217 - Kogarah	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12617000855325
ACTRN12617001000392	MoST-Addendum-3	Phase 2	NOT_RECRUITING	SA, NSW	11/07/2017	21/11/2017	Durvalumab; Durvalumab + Olaparib; Olaparib	anti-PD-L1_monoclonal_antibody; PARP_inhibitor + anti-PD-L1_monoclonal_antibody; PARP_inhibitor	Durvalumab; Durvalumab + Olaparib; Durvalumab + Olaparib	PARP_inhibitor + anti-PD-L1_monoclonal_antibody; anti-PD-L1_monoclonal_antibody; PARP_inhibitor + anti-PD-L1_monoclonal_antibody	Nil	Single arm, open label, signal seeking, phase IIa trial of the activity of Olaparib in combination with Durvalumab in patients with tumours with homologous recombination repair defects	Cancer	2050 - Camperdown; 2217 - Kogarah; 5000 - Adelaide; 2010 - Darlinghurst	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12617001000392
ACTRN12617001181392	SP51616	Phase 1	Stopped early	NSW	11/08/2017	9/10/2017	A-337; A-337 + Dexamethasone; Dexamethasone	glucocorticoid; bispecific_T-cell_engager,EpCAM-targeting; bispecific_T-cell_engager,EpCAM-targeting + glucocorticoid	A-337; A-337 + Dexamethasone; Dexamethasone; A-337 + Dexamethasone	bispecific_T-cell_engager,EpCAM-targeting; bispecific_T-cell_engager,EpCAM-targeting + glucocorticoid; glucocorticoid; bispecific_T-cell_engager,EpCAM-targeting + glucocorticoid	SP51616	A Phase I, Open-label, Dose-escalation Study of the Safety and Pharmacokinetics of A-337 in Patients with Advanced Solid Tumors	Cancer	2170 - Liverpool; 2031 - Randwick; 2148 - Blacktown	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12617001181392
ACTRN12617001190392	PIT-Study	Phase 1 / Phase 2	STATUS_UNKNOWN	SA	15/08/2017		Irinotecan; Irinotecan + Panitumumab; Panitumumab; Trifluridine/Tipiracil	Trifluridine; thymidine_phosphorylase_inhibitor; Tipiracil Hydrochloride; anti-EGFR_monoclonal_antibody + topoisomerase_inhibitor; anti-EGFR_monoclonal_antibody; topoisomerase_inhibitor; antimetabolite	Irinotecan + Panitumumab; Trifluridine/Tipiracil; Irinotecan + Panitumumab	Tipiracil Hydrochloride; Trifluridine; anti-EGFR_monoclonal_antibody + topoisomerase_inhibitor; antimetabolite; thymidine_phosphorylase_inhibitor; anti-EGFR_monoclonal_antibody + topoisomerase_inhibitor	None	An open label phase IB/II, non-randomised, dose-finding, safety and tolerability study of Panitumumab, Irinotecan, Trifluridine/Tipiracil in RAS wild-type patients with metastatic colorectal cancer	colorectal cancer	5011 - Woodville; 5042 - Bedford Park; 5000 - Adelaide	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12617001190392
ACTRN12617001325392	DIAmOND	Phase 2	Recruiting	WA, SA, NSW, VIC, TAS, QLD	15/09/2017	22/11/2018	Durvalumab; Durvalumab + Trastuzumab; Durvalumab + Trastuzumab + Tremelimumab; Durvalumab + Tremelimumab; Trastuzumab; Tremelimumab	anti-PD-L1_monoclonal_antibody; anti-ERBB2_monoclonal_antibody; anti-CTLA-4_monoclonal_antibody + anti-ERBB2_monoclonal_antibody + anti-PD-L1_monoclonal_antibody; anti-CTLA-4_monoclonal_antibody + anti-PD-L1_monoclonal_antibody; anti-ERBB2_monoclonal_antibody + anti-PD-L1_monoclonal_antibody; anti-CTLA-4_monoclonal_antibody	Durvalumab; Durvalumab + Trastuzumab; Durvalumab + Trastuzumab + Tremelimumab; Durvalumab + Tremelimumab; Trastuzumab; Tremelimumab; Durvalumab + Trastuzumab; Durvalumab + Trastuzumab + Tremelimumab; Durvalumab + Tremelimumab	anti-CTLA-4_monoclonal_antibody; anti-CTLA-4_monoclonal_antibody + anti-ERBB2_monoclonal_antibody + anti-PD-L1_monoclonal_antibody; anti-CTLA-4_monoclonal_antibody + anti-PD-L1_monoclonal_antibody; anti-ERBB2_monoclonal_antibody; anti-ERBB2_monoclonal_antibody + anti-PD-L1_monoclonal_antibody; anti-PD-L1_monoclonal_antibody; anti-CTLA-4_monoclonal_antibody + anti-ERBB2_monoclonal_antibody + anti-PD-L1_monoclonal_antibody; anti-CTLA-4_monoclonal_antibody + anti-PD-L1_monoclonal_antibody; anti-ERBB2_monoclonal_antibody + anti-PD-L1_monoclonal_antibody	BCT 1703	BCT 1703 (DIAmOND): An investigator-initiated, non-randomised, phase II study of combination CTLA-4 and PD-L1 blockade in advanced HER2-positive breast cancers who have progressed on prior trastuzumab-based therapy.	Advanced HER2-positive breast cancer	7000 - Hobart; 3084 - Heidelberg; 4101 - South Brisbane; 3000 - Melbourne; 2145 - Westmead; 6150 - Murdoch; 3550 - Bendigo; 5042 - Bedford Park; 4575 - Birtinya; 2217 - Kogarah	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12617001325392
ACTRN12617001573347	ZU545102--CA209-9KJ	Phase 1	NOT_RECRUITING	QLD, VIC, NSW, SA	22/11/2017	24/10/2017	Nivolumab; Nivolumab + Pixatimod; Pixatimod	anti-PD-1_monoclonal_antibody; angiogenesis_inhibitor; angiogenesis_inhibitor + anti-PD-1_monoclonal_antibody	Nivolumab + Pixatimod; Nivolumab + Pixatimod	angiogenesis_inhibitor + anti-PD-1_monoclonal_antibody; angiogenesis_inhibitor + anti-PD-1_monoclonal_antibody	ZU545102  CA209-9KJ	An open-label, multi-centre Phase Ib study of the safety and tolerability of IV infused PG545 in combination with nivolumab in patients with advanced solid tumours with an expansion cohort in patients with metastatic pancreatic cancer	Colorectal cancer; Pancreatic Cancer; Advanced solid tumours	3004 - Prahran; 2065 - St Leonards; 5000 - Adelaide; 4029 - Herston	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12617001573347
ACTRN12618000053224	PRIME002	Phase 2	NOT_RECRUITING	NSW, QLD	16/01/2018	22/03/2018	Avelumab; Azacitidine; Azacitidine + Carboplatin; Carboplatin	anti-PD-L1_monoclonal_antibody; antimetabolite + platinum-based_antineoplastic_agent; platinum-based_antineoplastic_agent; antimetabolite; DNA_methyltransferase_inhibitor; DNA_methyltransferase_inhibitor + platinum-based_antineoplastic_agent	Avelumab; Azacitidine + Carboplatin; Azacitidine + Carboplatin	DNA_methyltransferase_inhibitor + platinum-based_antineoplastic_agent; anti-PD-L1_monoclonal_antibody; antimetabolite + platinum-based_antineoplastic_agent; DNA_methyltransferase_inhibitor + platinum-based_antineoplastic_agent; antimetabolite + platinum-based_antineoplastic_agent	Nil known	PRIME002: Early phase II study of Azacitidine and Carboplatin priming for Avelumab in patients with advanced melanoma who are resistant to immunotherapy.	Metastatic melanoma; Immunotherapy resistant	4870 - Cairns; 2298 - Waratah	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12618000053224
